settlement_id,utr,settlement_date,payment_ids_count,payment_ids,gross_amount_inr,fee_amount_inr,tax_amount_inr,net_amount_inr,on_hold_amount_inr,status,narration
setl_RZP_501,RBIP20260855667651,2026-08-12,5,pay_live_1001658;pay_live_1002130;pay_live_1003716;pay_live_1004765;pay_live_1005384,186599.0,3731.98,671.76,182195.26,0.0,SETTLED,Razorpay Payout Batch setl_RZP_501 (5 txns) UTR: RBIP20260855667651
setl_RZP_526,RBIP20260884437458,2026-08-13,1,pay_anom_1060820,54100.0,1082.0,194.76,52823.24,0.0,SETTLED,Settlement with amount variance for pay_anom_1060820
setl_RZP_523,RBIP20260823419256,2026-08-13,1,pay_anom_1057568,9400.0,188.0,33.84,9178.16,0.0,SETTLED,Razorpay Single Payout for pay_anom_1057568
setl_RZP_506,RBIP20260894214382,2026-08-14,5,pay_live_1018317;pay_live_1019246;pay_live_1020674;pay_live_1021508;pay_live_1022605,149349.0,2986.98,537.66,145824.36,0.0,SETTLED,Razorpay Payout Batch setl_RZP_506 (5 txns) UTR: RBIP20260894214382
setl_RZP_508,RBIP20260845351479,2026-08-14,4,pay_live_1024641;pay_live_1025838;pay_live_1026373;pay_live_1027261,144348.0,2886.96,519.65,140941.39,0.0,SETTLED,Razorpay Payout Batch setl_RZP_508 (4 txns) UTR: RBIP20260845351479
setl_RZP_505,RBIP20260886125617,2026-08-13,3,pay_live_1015376;pay_live_1016886;pay_live_1017423,125450.0,2509.0,451.62,122489.38,0.0,SETTLED,Razorpay Payout Batch setl_RZP_505 (3 txns) UTR: RBIP20260886125617
setl_RZP_520,RBIP20260826090908,2026-08-23,1,pay_anom_1053290,8900.0,178.0,32.04,-6310.04,15000.0,PARTIALLY_SETTLED,"Partial Settlement with Risk Hold of ₹15,000 for pay_anom_1053290"
setl_RZP_514,RBIP20260855540424,2026-08-17,2,pay_live_1043520;pay_live_1044761,14849.0,296.98,53.46,14498.56,0.0,SETTLED,Razorpay Payout Batch setl_RZP_514 (2 txns) UTR: RBIP20260855540424
setl_RZP_518,RBIP20260839219319,2026-08-17,3,pay_live_1048318;pay_live_1049102;pay_live_1050533,53450.0,1069.0,192.42,52188.58,0.0,SETTLED,Razorpay Payout Batch setl_RZP_518 (3 txns) UTR: RBIP20260839219319
setl_RZP_512,RBIP20260819528530,2026-08-16,4,pay_live_1034316;pay_live_1035787;pay_live_1036223;pay_live_1037121,207149.0,4142.98,745.74,202260.28,0.0,SETTLED,Razorpay Payout Batch setl_RZP_512 (4 txns) UTR: RBIP20260819528530
setl_RZP_504,RBIP20260831931511,2026-08-13,2,pay_live_1013786;pay_live_1014173,129598.0,2591.96,466.55,126539.49,0.0,SETTLED,Razorpay Payout Batch setl_RZP_504 (2 txns) UTR: RBIP20260831931511
setl_RZP_522,RBIP20260850264926,2026-08-28,1,pay_anom_1056344,42500.0,850.0,153.0,41497.0,0.0,SETTLED,Delayed Settlement for pay_anom_1056344 UTR: RBIP20260850264926
